"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2059","@TC-0002 Verify that a user receives an error message when attempting to log in with incorrect credentials","firefox","Tue Nov 05 14:52:53 GMT 2024","passed","Tue Nov 05 14:52:55 GMT 2024","Login Tests","login.spec.ts","",""
"","7695","@TC-0003 Verify that an employee can be created","firefox","Tue Nov 05 14:52:55 GMT 2024","passed","Tue Nov 05 14:53:03 GMT 2024","PIM","Pim/Employee.spec.ts","",""
"","4524","@TC-0004 Verify that an employee cannot be created when required fields are left empty","firefox","Tue Nov 05 14:53:03 GMT 2024","passed","Tue Nov 05 14:53:07 GMT 2024","PIM","Pim/Employee.spec.ts","",""
"","1843","@TC-0002 Verify that a user receives an error message when attempting to log in with incorrect credentials","chromium","Tue Nov 05 14:52:36 GMT 2024","passed","Tue Nov 05 14:52:38 GMT 2024","Login Tests","login.spec.ts","",""
"","2513","@TC-0001 Verify that a user can successfully log in with valid credentials","firefox","Tue Nov 05 14:52:50 GMT 2024","passed","Tue Nov 05 14:52:53 GMT 2024","Login Tests","login.spec.ts","",""
"","7313","@TC-0003 Verify that an employee can be created","chromium","Tue Nov 05 14:52:38 GMT 2024","passed","Tue Nov 05 14:52:45 GMT 2024","PIM","Pim/Employee.spec.ts","",""
"","4237","@TC-0004 Verify that an employee cannot be created when required fields are left empty","chromium","Tue Nov 05 14:52:45 GMT 2024","passed","Tue Nov 05 14:52:50 GMT 2024","PIM","Pim/Employee.spec.ts","",""
"","1933","@TC-0001 Verify that a user can successfully log in with valid credentials","chromium","Tue Nov 05 14:52:33 GMT 2024","passed","Tue Nov 05 14:52:35 GMT 2024","Login Tests","login.spec.ts","",""
