"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4534","@TC-0004 Verify that an employee cannot be created when required fields are left empty","firefox","Fri Nov 15 02:01:15 GMT 2024","passed","Fri Nov 15 02:01:20 GMT 2024","PIM","pim/employee.spec.ts","",""
"","2584","@TC-0001 Verify that a user can successfully log in with valid credentials","firefox","Fri Nov 15 02:01:02 GMT 2024","passed","Fri Nov 15 02:01:05 GMT 2024","Login Tests","login.spec.ts","",""
"","2080","@TC-0001 Verify that a user can successfully log in with valid credentials","chromium","Fri Nov 15 02:00:45 GMT 2024","passed","Fri Nov 15 02:00:47 GMT 2024","Login Tests","login.spec.ts","",""
"","7631","@TC-0003 Verify that an employee can be created","firefox","Fri Nov 15 02:01:08 GMT 2024","passed","Fri Nov 15 02:01:15 GMT 2024","PIM","pim/employee.spec.ts","",""
"","2015","@TC-0002 Verify that a user receives an error message when attempting to log in with incorrect credentials","firefox","Fri Nov 15 02:01:06 GMT 2024","passed","Fri Nov 15 02:01:08 GMT 2024","Login Tests","login.spec.ts","",""
"","4199","@TC-0004 Verify that an employee cannot be created when required fields are left empty","chromium","Fri Nov 15 02:00:57 GMT 2024","passed","Fri Nov 15 02:01:02 GMT 2024","PIM","pim/employee.spec.ts","",""
"","7411","@TC-0003 Verify that an employee can be created","chromium","Fri Nov 15 02:00:50 GMT 2024","passed","Fri Nov 15 02:00:57 GMT 2024","PIM","pim/employee.spec.ts","",""
"","1842","@TC-0002 Verify that a user receives an error message when attempting to log in with incorrect credentials","chromium","Fri Nov 15 02:00:48 GMT 2024","passed","Fri Nov 15 02:00:50 GMT 2024","Login Tests","login.spec.ts","",""
