"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1924","@TC-0002 Verify that a user receives an error message when attempting to log in with incorrect credentials","chromium","Thu Nov 28 02:21:13 GMT 2024","passed","Thu Nov 28 02:21:15 GMT 2024","Login Tests","login.spec.ts","",""
"","4370","@TC-0004 Verify that an employee cannot be created when required fields are left empty","chromium","Thu Nov 28 02:21:22 GMT 2024","passed","Thu Nov 28 02:21:27 GMT 2024","PIM","pim/employee.spec.ts","",""
"","2033","@TC-0001 Verify that a user can successfully log in with valid credentials","chromium","Thu Nov 28 02:21:11 GMT 2024","passed","Thu Nov 28 02:21:13 GMT 2024","Login Tests","login.spec.ts","",""
"","7573","@TC-0003 Verify that an employee can be created","chromium","Thu Nov 28 02:21:15 GMT 2024","passed","Thu Nov 28 02:21:22 GMT 2024","PIM","pim/employee.spec.ts","",""
